Player A,Player B,Outcome,Factor A,Factor B,Score A,Score B
New England Patriots,Miami Dolphins,1,0,0,27,17
Cincinnati Bengals,Baltimore Ravens,1,0,0,17,7
Indianapolis Colts,Houston Texans,1,0,0,20,17
Jacksonville Jaguars,Kansas City Chiefs,1,0,0,24,21
Tampa Bay Buccaneers,Green Bay Packers,1,0,0,38,28
Atlanta Falcons,Washington Redskins,1,0,0,31,17
Arizona Cardinals,Chicago Bears,1,0,0,41,21
New Orleans Saints,Carolina Panthers,1,0,0,30,20
Seattle Seahawks,Detroit Lions,1,0,0,32,20
Tennessee Titans,San Francisco 49ers,1,0,0,34,27
San Diego Chargers,New York Giants,1,0,0,21,20
Dallas Cowboys,Philadelphia Eagles,1,0,0,20,16
Pittsburgh Steelers,Denver Broncos,1,0,0,28,10
